Qubit_ID,Readout_Error,Category,Normalized_Error,Percentile
102,0.003173828,Category_B,0.39112823813327724,14.743589743589745
103,0.003662109,Category_B,0.4513017847917461,24.358974358974358
104,0.0078125,Category_C,0.9627772394774475,78.84615384615384
105,0.009887695,Category_C,1.218514905202555,87.82051282051282
106,0.006713867,Category_C,0.8273866670692778,68.58974358974359
107,0.004272461,Category_B,0.5265188105414471,38.46153846153847
108,0.011962891,Category_D,1.474252694163149,91.66666666666666
109,0.010986328,Category_D,1.3539054776107249,89.74358974358975
110,0.004882813,Category_B,0.601735836291148,48.07692307692308
111,0.004150391,Category_B,0.5114754546857015,37.82051282051282
112,0.009399414,Category_C,1.1583413585440863,87.17948717948718
113,0.017333984,Category_D,2.1361619538772794,97.43589743589743
114,0.016845703,Category_D,2.0759884072188104,96.15384615384616
115,0.004760742,Category_B,0.5866923571999159,46.15384615384615
116,0.010742188,Category_D,1.3238187658992338,88.46153846153845
117,0.00390625,Category_B,0.48138861973872377,33.33333333333333
118,0.005004883,Category_C,0.6167791921468936,48.717948717948715
119,0.006958008,Category_C,0.8574735020162555,72.43589743589743
120,0.005615234,Category_C,0.691996094661108,54.48717948717948
121,0.008911133,Category_C,1.0981678118856173,84.61538461538461
122,0.003417969,Category_B,0.42121507308025496,19.230769230769234
123,0.002929688,Category_A,0.3610415264217862,8.974358974358974
124,0.008178711,Category_C,1.007907430280171,81.41025641025641
125,0.006103516,Category_C,0.7521697645550633,60.89743589743589
126,0.006347656,Category_C,0.7822564762665545,65.38461538461539
127,0.005737305,Category_C,0.7070395737523402,55.769230769230774
128,0.00378418,Category_B,0.46634526388297826,29.48717948717949
129,0.006713867,Category_C,0.8273866670692778,68.58974358974359
130,0.005737305,Category_C,0.7070395737523402,55.769230769230774
131,0.003051758,Category_B,0.3760848822775317,12.179487179487179
132,0.005249023,Category_C,0.6468659038583847,50.0
133,0.00793457,Category_C,0.9778205953331931,79.48717948717949
134,0.005371094,Category_C,0.6619093829496169,51.92307692307693
135,0.008911133,Category_C,1.0981678118856173,84.61538461538461
136,0.004638672,Category_B,0.5716490013441703,43.58974358974359
137,0.008300781,Category_C,1.0229507861359164,82.05128205128204
138,0.006103516,Category_C,0.7521697645550633,60.89743589743589
139,0.002807617,Category_A,0.345998047330554,5.769230769230769
140,0.00378418,Category_B,0.46634526388297826,29.48717948717949
141,0.007202148,Category_C,0.8875602137277466,75.64102564102564
142,0.008056641,Category_C,0.9928640744244253,80.12820512820514
143,0.00402832,Category_B,0.49643197559446933,36.53846153846153
144,0.00402832,Category_B,0.49643197559446933,36.53846153846153
